GN List,,,,,,,,
LIFe Code,GN Code,Name in Sinhala,Name in Tamil,Name in English,MPA Code,Province,District,Divisional Secretariat
6-2-03-125,125,නාරක්කල්ලිය,நரக்கள்ளி,Narakkalli,620,6: වයඹ/ வட ‍மேற்கு/ North-Western,2: පුත්තලම/ புத்தளம்/ Puttalam,3: කල්පිටිය/ கல்பிடிய/ Kalpitiya
6-2-03-130,130,මාම්පුරිය,மாம்புரி,Mampuri,619,6: වයඹ/ வட ‍மேற்கு/ North-Western,2: පුත්තලම/ புத்தளம்/ Puttalam,3: කල්පිටිය/ கல்பிடிய/ Kalpitiya
6-2-03-135,135,නාවක්කාඩුව,நாவற்காடு,Nawatkadu,605,6: වයඹ/ வட ‍மேற்கு/ North-Western,2: පුත්තලම/ புத்தளம்/ Puttalam,3: කල්පිටිය/ கல்பிடிய/ Kalpitiya
6-2-03-140,140,නිර්මලපුර,நிர்மலபுர,Nirmalapura,605B,6: වයඹ/ வட ‍மேற்கு/ North-Western,2: පුත්තලම/ புத்தளம்/ Puttalam,3: කල්පිටිය/ கல்பிடிய/ Kalpitiya
6-2-03-145,145,දළුව,தளுவை,Daluwa,605A,6: වයඹ/ வட ‍மேற்கு/ North-Western,2: පුත්තලම/ புத்தளம்/ Puttalam,3: කල්පිටිය/ கல்பிடிய/ Kalpitiya
6-2-03-150,150,තේතාපොල,தேத்தாப்பொலை,Thethapola,603,6: වයඹ/ வட ‍மேற்கு/ North-Western,2: පුත්තලම/ புத்தளம்/ Puttalam,3: කල්පිටිය/ கல்பிடிய/ Kalpitiya
6-2-03-155,155,කරඹ,கரம்பை,Karambe,603A,6: වයඹ/ வட ‍மேற்கு/ North-Western,2: පුත්තලම/ புத்தளம்/ Puttalam,3: කල්පිටිය/ கல்பிடிய/ Kalpitiya
6-2-06-005,005,පුක්කුලම,பூக்குளம்,Pukkulama,634,6: වයඹ/ வட ‍மேற்கு/ North-Western,2: පුත්තලම/ புத்தளம்/ Puttalam,6: වනාතවිල්ලුව/ வனாத்தவில்லுவ/ Vanathavilluwa
6-2-06-010,010,රාල්මඩුව,றால்மடுவ,Ralmaduwa,635/2,6: වයඹ/ வட ‍மேற்கு/ North-Western,2: පුත්තලම/ புத்தளம்/ Puttalam,6: වනාතවිල්ලුව/ வனாத்தவில்லுவ/ Vanathavilluwa
6-2-06-015,015,පරණ එළුවන්කුලම,பழைய எலுவன்குளம்,Old  Eluwankulam,635,6: වයඹ/ வட ‍மேற்கு/ North-Western,2: පුත්තලම/ புத்தளம்/ Puttalam,6: වනාතවිල්ලුව/ வனாத்தவில்லுவ/ Vanathavilluwa
6-2-06-020,020,අළුත්  එළුවන්කුලම,புதிய எலுவன்குளம்,Aluth Eluwankulama,635/1,6: වයඹ/ வட ‍மேற்கு/ North-Western,2: පුත්තලම/ புத்தளம்/ Puttalam,6: වනාතවිල්ලුව/ வனாத்தவில்லுவ/ Vanathavilluwa
