GN List,,,,,,,,
LIFe Code,GN Code,Name in Sinhala,Name in Tamil,Name in English,MPA Code,Province,District,Divisional Secretariat
3-2-03-125,125,කොස්නිල්ගොඩ,கொஸ்நில்கொட,Kosnilgoda,262B,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-130,130,අළුවන,அலுவன,Aluwana,262E,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-135,135,පරදුපල්ල,பரதுப்பல்ல,Paradupalla,262F,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-140,140,මහපොතුවිල,மஹ பொத்துவில,Mahapotuvila,263D,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-145,145,දංකොළුව,தங்கொலுவ,Dankoluwa,265A,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-150,150,පිටබැද්දර,பிட்டபெத்தர,Pitabaddera,261A,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-155,155,කදුරුවාන,கதுருவான,Kaduruwana,261D,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-160,160,දෙහිගස්ප,தெஹிகஸ்ப,Dehigaspa,265,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-165,165,කොටගල,கொட்டகல,Kotagala,266,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-170,170,සියඹලාගොඩ නැගෙනහිර,ஸியம்பலாகொட கிழக்கு,Siyambalagoda East,263A,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-175,175,වනසිංකන්ද,வனசிங்கந்த,Wanasinkanda,263F,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-180,180,දියදාව,தியதாவ,Diyadawa,262C,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-185,185,ඉහල අයිනගම,இஹல ஐனகம,Ihala Ainagama,263E,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
3-2-03-190,190,එලමල්දෙනිය,எலமல்தெணிய,Emaldeniya,266A,3: දකුණ/ தெற்கு/ Southern,2: මාතර/ மாத்தறை/ Matara,3: පිටබැද්දර/ பிட்ட‎பெத்தர/ Pitabeddara
