GN List,,,,,,,,
LIFe Code,GN Code,Name in Sinhala,Name in Tamil,Name in English,MPA Code,Province,District,Divisional Secretariat
9-1-03-110,110,මොරගල,மொரகல,Moragala,136D,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,1: රත්නපුර/ இரத்திணபுரி/ Ratnapura,3: ඇහැලියගොඩ/ எஹலிய‎‎கெடை/ Eheliyagoda
9-1-03-115,115,බුළුගහපිටිය,புலுகஹபிடிய,Bulugahapitiya,141,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,1: රත්නපුර/ இரத்திணபுரி/ Ratnapura,3: ඇහැලියගොඩ/ எஹலிய‎‎கெடை/ Eheliyagoda
9-1-03-120,120,යකුදාගොඩ,யகுதுகொட,Yakudagoda,136G,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,1: රත්නපුර/ இரத்திணபுரி/ Ratnapura,3: ඇහැලියගොඩ/ எஹலிய‎‎கெடை/ Eheliyagoda
9-1-03-125,125,කැන්දන්ගමුව,கெந்தகமுவ,Kandangamuwa,136A,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,1: රත්නපුර/ இரத்திணபுரி/ Ratnapura,3: ඇහැලියගොඩ/ எஹலிய‎‎கெடை/ Eheliyagoda
9-1-03-130,130,අස්ගගුල  දකුණ,அஸ்ககுல தெற்கு,Asgangula South,126C,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,1: රත්නපුර/ இரத்திணபுரி/ Ratnapura,3: ඇහැලියගොඩ/ எஹலிய‎‎கெடை/ Eheliyagoda
9-1-03-135,135,මාහර,மாஹர,Mahara,126,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,1: රත්නපුර/ இரத்திணபுரி/ Ratnapura,3: ඇහැලියගොඩ/ எஹலிய‎‎கெடை/ Eheliyagoda
9-1-03-140,140,මාහිංගොඩ,மாஹின்கொ,Mahingoda,126A,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,1: රත්නපුර/ இரத்திணபுரி/ Ratnapura,3: ඇහැලියගොඩ/ எஹலிய‎‎கெடை/ Eheliyagoda
9-1-03-145,145,නාකන්දල,நாகந்தல,Nakandala,140B,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,1: රත්නපුර/ இரத்திணபுரி/ Ratnapura,3: ඇහැලියගොඩ/ எஹலிய‎‎கெடை/ Eheliyagoda
9-1-03-150,150,වියලගොඩ,வியலாகொட,Viyalagoda,140A,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,1: රත්නපුර/ இரத்திணபுரி/ Ratnapura,3: ඇහැලියගොඩ/ எஹலிய‎‎கெடை/ Eheliyagoda
9-1-03-155,155,කැන්දන්ගමුවපහලගම,கெந்தகமுவ பஹலகம,Kendangamuwa Pahalagama,140,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,1: රත්නපුර/ இரத்திணபுரி/ Ratnapura,3: ඇහැලියගොඩ/ எஹலிய‎‎கெடை/ Eheliyagoda
9-1-03-160,160,පලිගල,பலிகல,Paligala,141B,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,1: රත්නපුර/ இரத்திணபுரி/ Ratnapura,3: ඇහැලියගොඩ/ எஹலிய‎‎கெடை/ Eheliyagoda
9-1-03-165,165,මියනකොලතැන්න,மியனகொலதென்ன,Miyanakolathenna,141C,9: සබරගමුව/ சபரகமுவ/ Sabaragamuwa,1: රත්නපුර/ இரத்திணபுரி/ Ratnapura,3: ඇහැලියගොඩ/ எஹலிய‎‎கெடை/ Eheliyagoda
