GN List,,,,,,,,
LIFe Code,GN Code,Name in Sinhala,Name in Tamil,Name in English,MPA Code,Province,District,Divisional Secretariat
1-2-03-115,115,දූව,தீவு,Doowa,162A,1: බස්නාහිර/ மேற்கு/ Western,2: ගම්පහ/ கம்‍‍‎ப‍‍ஹா/ Gampaha,3: මීගමුව/ நீர்கொழும்பு/ Negombo
1-2-03-120,120,උතුරු පිටිපන,வடக்கு பிடிபன,Pitipana North,162,1: බස්නාහිර/ மேற்கு/ Western,2: ගම්පහ/ கம்‍‍‎ப‍‍ஹா/ Gampaha,3: මීගමුව/ நீர்கொழும்பு/ Negombo
1-2-03-125,125,මැද පිටිපන,மத்திய பிடிபன,Pitipana Central,162D,1: බස්නාහිර/ மேற்கு/ Western,2: ගම්පහ/ கம்‍‍‎ப‍‍ஹா/ Gampaha,3: මීගමුව/ நீர்கொழும்பு/ Negombo
1-2-03-130,130,මුන්නක්කරය,முன்னக்கரை,Munnakkaraya,156,1: බස්නාහිර/ மேற்கு/ Western,2: ගම්පහ/ கம்‍‍‎ப‍‍ஹா/ Gampaha,3: මීගමුව/ நீர்கொழும்பு/ Negombo
1-2-03-135,135,නැගෙනහිර මුන්නක්කරය,கிழக்கு முன்னக்கரை,Munnakkarai East,156B,1: බස්නාහිර/ மேற்கு/ Western,2: ගම්පහ/ கம்‍‍‎ப‍‍ஹா/ Gampaha,3: මීගමුව/ நீர்கொழும்பு/ Negombo
1-2-03-140,140,තලාදූව,தலாதீவு,Thaladuwa,160A,1: බස්නාහිර/ மேற்கு/ Western,2: ගම්පහ/ கம்‍‍‎ப‍‍ஹா/ Gampaha,3: මීගමුව/ நீர்கொழும்பு/ Negombo
1-2-03-145,145,දකුණු උඩයාර්තෝප්පුව,தெற்கு உடையார் தோப்பு,Udayarthoppuwa South,160B,1: බස්නාහිර/ மேற்கு/ Western,2: ගම්පහ/ கம்‍‍‎ப‍‍ஹா/ Gampaha,3: මීගමුව/ நீர்கொழும்பு/ Negombo
1-2-03-150,150,බෝලවලාන,‍போலவலான,Bolawalana,157,1: බස්නාහිර/ மேற்கு/ Western,2: ගම්පහ/ கம்‍‍‎ப‍‍ஹா/ Gampaha,3: මීගමුව/ நீர்கொழும்பு/ Negombo
1-2-03-155,155,බටහිර කුරණ,‍மேற்கு குரண,Kurana West,157B,1: බස්නාහිර/ மேற்கு/ Western,2: ගම්පහ/ கம்‍‍‎ப‍‍ஹா/ Gampaha,3: මීගමුව/ நீர்கொழும்பு/ Negombo
1-2-03-160,160,නැගෙනහිර කුරණ,குரண கிழக்கு,Kurana East,157A,1: බස්නාහිර/ மேற்கு/ Western,2: ගම්පහ/ கம்‍‍‎ப‍‍ஹா/ Gampaha,3: මීගමුව/ நீர்கொழும்பு/ Negombo
1-2-03-165,165,සිරිවර්ධන පෙදෙස,சிரிவர்தன பிரதேசம்,Siriwardana Pedesa,156C,1: බස්නාහිර/ மேற்கு/ Western,2: ගම්පහ/ கம்‍‍‎ப‍‍ஹா/ Gampaha,3: මීගමුව/ நீர்கொழும்பு/ Negombo
1-2-03-170,170,දකුණ පිටිපන නැගෙනහිර,‎தெற்கு பிடிபன கிழக்கு,South Pitipana East,162C,1: බස්නාහිර/ மேற்கு/ Western,2: ගම්පහ/ கம்‍‍‎ப‍‍ஹா/ Gampaha,3: මීගමුව/ நீர்கொழும்பு/ Negombo
